date,coin_target,post_count,vader_mean,finbert_mean,composite_mean,zscore_mean,weighted_mean,engagement_mean,upvotes_total,comments_total
2026-04-07,DOGE,5,0.04287999999999999,-0.004156199999999999,0.009954400000000002,-0.33551780000000003,-0.02207920000000003,4.1184959999999995,105,57
2026-04-07,ETH,6,0.58255,-0.21081633333333336,0.02719366666666667,-0.07899949999999996,0.9121806666666666,5.8150685,180,143
2026-04-07,MARKET,459,0.06484183006535947,-0.07325149673202613,-0.03182350326797386,0.03520637690631809,-0.15098513071895425,3.6476119346405227,46721,50653
2026-04-07,SHIB,2,0.42155000000000004,0.2047095,0.2697615,0.6527385,1.6540035,6.0146195,44,14
2026-04-07,SOL,53,0.25114150943396224,0.06470411320754718,0.12063530188679246,-0.006456622641509431,0.5032603207547169,3.4385671132075473,504,241
2026-04-08,BNB,12,0.260225,0.024424583333333333,0.09516458333333333,0.17022508333333333,0.030238249999999967,2.4769039999999998,20,15
2026-04-08,BTC,99,0.06614848484848485,0.008663020202020203,0.02590865656565657,-0.07001178787878787,0.009922989898989916,3.54667297979798,2698,941
2026-04-08,DOGE,6,0.1531,0.03436533333333334,0.06998583333333333,-0.045484,0.2498275,4.188390333333333,116,56
2026-04-08,ETH,5,0.02966,-0.0503928,-0.026377,-0.294249,-0.4268528,5.2274318,580,133
2026-04-08,MARKET,561,0.07398841354723708,-0.08512224598930482,-0.037389076648841356,0.01592373796791445,-0.15324947593582888,3.6843540552584675,57364,35375
2026-04-08,SHIB,1,0.34,0.820129,0.67609,2.57968,2.852341,4.218876,24,0
2026-04-08,SOL,41,0.19086829268292685,0.0017766097560975593,0.05850412195121951,-0.2681832195121951,0.2722796341463415,3.1290478780487807,139,99
2026-04-09,BNB,5,0.28637999999999997,0.0124084,0.0945996,0.16824219999999998,0.33318840000000005,2.7446462,4,17
2026-04-09,BTC,87,0.08047011494252873,-0.011165321839080459,0.016325310344827586,-0.10693166666666667,-0.13196113793103448,3.347339356321839,1748,896
2026-04-09,DOGE,11,0.14417272727272729,0.063366,0.0876079090909091,0.03965427272727274,0.3852096363636363,4.142696090909091,197,151
2026-04-09,ETH,10,0.20617999999999997,0.0342252,0.0858116,0.1565308,0.40674399999999994,3.0040746999999994,56,39
2026-04-09,MARKET,482,0.11135975103734441,-0.09034908506224067,-0.029836429460580915,0.042090869294605815,-0.09534459543568465,3.215132427385892,23977,27703
2026-04-09,SHIB,2,-0.064,-0.1530655,-0.126346,-1.2257315,-0.6635304999999999,3.8518915,23,2
2026-04-09,SOL,31,0.3290193548387097,0.14934009677419355,0.20324393548387099,0.34153070967741933,0.7317829032258064,3.3397693548387095,139,83
2026-04-10,BNB,18,0.18317777777777777,0.1519773888888889,0.16133750000000002,0.4024523888888889,0.4925330555555556,2.6259698888888887,23,52
2026-04-10,BTC,82,0.20801951219512196,-0.007400573170731708,0.057225463414634144,0.050636,0.31351157317073175,3.6570766707317075,1629,1004
2026-04-10,DOGE,5,0.30228,0.065277,0.1363778,0.27527919999999995,0.9072245999999999,6.6866208,306,85
2026-04-10,ETH,8,0.10523750000000001,0.090173625,0.09469275,0.19221575000000002,0.321078625,3.159448375,50,35
2026-04-10,MARKET,471,0.09241422505307854,-0.07660995541401273,-0.02590270912951168,0.055719749469214444,-0.10157168577494692,3.1456323609341825,72787,34064
2026-04-10,SHIB,2,0.0,0.0084905,0.005943499999999999,-0.598372,0.050863,3.802901,17,7
2026-04-10,SOL,37,0.39842432432432434,0.011395054054054055,0.12750386486486487,0.022477027027027023,0.5272922702702703,3.397553648648649,151,126
2026-04-11,BNB,10,0.12407000000000001,-0.028574599999999995,0.017218699999999993,-0.10331850000000001,0.0969966,1.9246478,8,12
2026-04-11,BTC,71,0.16445492957746477,-0.04423392957746479,0.018372718309859155,-0.0990440281690141,-0.09158004225352114,2.974228661971831,2815,592
2026-04-11,DOGE,7,0.4394428571428572,-0.06988271428571428,0.08291485714285715,0.016980428571428532,0.3627521428571429,3.1588272857142856,49,24
2026-04-11,ETH,6,0.3596,0.062861,0.1518826666666667,0.4220078333333333,0.5601571666666666,3.1666494999999997,28,23
2026-04-11,MARKET,307,0.044411400651465795,-0.10952909446254071,-0.06334699022801303,-0.07401085342019544,-0.3514767687296417,3.05216861237785,40240,5043
2026-04-11,SHIB,3,0.2543,0.04427433333333333,0.10728199999999999,-0.11779166666666667,0.18164433333333332,1.693147,3,0
2026-04-11,SOL,35,0.31042857142857144,-0.01820817142857143,0.08038279999999999,-0.17601959999999997,0.29162982857142855,2.916976257142857,71,116
2026-04-12,BNB,17,0.10554117647058824,-0.11891670588235295,-0.05157935294117647,-0.3447584117647059,-0.17178188235294117,2.1893557647058826,22,15
2026-04-12,BTC,76,0.21659078947368418,-0.03723918421052632,0.03890982894736842,-0.01992486842105263,0.20481340789473684,3.5092329868421053,5345,842
2026-04-12,DOGE,8,0.4706125,-0.056053124999999995,0.10194662499999999,0.10892974999999995,0.8707238749999999,5.013319375,265,81
2026-04-12,ETH,8,0.052074999999999996,-0.17492225,-0.106823125,-0.617486,-0.495992875,5.026832375,173,73
2026-04-12,MARKET,441,0.06114625850340136,-0.1387347777777778,-0.07877049886621316,-0.12744764625850338,-0.2224020566893424,3.47593031292517,113649,8972
2026-04-12,SHIB,3,0.4143666666666667,0.27681,0.318077,0.8818663333333334,0.5385513333333334,1.693147,3,0
2026-04-12,SOL,23,0.1967217391304348,0.08357491304347825,0.117519,-0.019584043478260874,0.3981857391304348,2.850892913043478,49,44
2026-04-13,BNB,8,0.397575,0.071995375,0.16966925,0.431691875,0.375751875,2.1410869999999997,10,6
2026-04-13,BTC,77,0.19661168831168832,-0.0038547142857142842,0.05628519480519481,0.04701357142857142,0.3120750779220779,4.021868363636363,3141,1065
2026-04-13,DOGE,5,-0.1441,0.024140400000000003,-0.0263318,-0.5108292,-0.7354831999999999,5.84722,2283,157
2026-04-13,ETH,6,0.33271666666666666,0.046186000000000005,0.13214533333333334,0.3427021666666667,0.6992781666666666,4.114158166666667,130,86
2026-04-13,MARKET,504,0.0873626984126984,-0.10089251190476191,-0.04441599603174603,-0.008421976190476183,-0.15487014682539682,3.355019361111111,41034,35553
2026-04-13,SHIB,2,-0.045999999999999985,0.2279335,0.14575349999999998,0.0646525,0.588109,4.366701,20,12
2026-04-13,SOL,35,0.35123428571428567,0.11434434285714286,0.18541134285714286,0.2664112571428572,0.7242097714285713,3.2099242,139,82
2026-04-14,BNB,20,0.282925,0.01869155,0.09796149999999999,0.1800406,0.15315365,1.72780435,20,1
2026-04-14,BTC,119,0.2067873949579832,-0.03141785714285714,0.0400436974789916,-0.015556647058823533,0.13690257142857146,2.1937696470588235,461,346
2026-04-14,DOGE,7,0.12990000000000002,0.057983,0.07955814285714287,0.0007628571428571286,0.13758285714285717,2.137934857142857,14,4
2026-04-14,ETH,9,-0.10273333333333333,-0.11503111111111111,-0.11134177777777778,-0.6356425555555556,-0.08163822222222222,3.0110846666666666,128,102
2026-04-14,MARKET,546,0.10027472527472528,-0.08675035164835164,-0.030642853479853478,0.039296871794871804,-0.08695317948717948,2.505030432234432,13092,2600
2026-04-14,SHIB,6,0.26566666666666666,-0.0116265,0.0715615,-0.2871901666666667,0.379326,2.7336796666666667,53,20
2026-04-14,SOL,45,0.39011777777777773,0.18726153333333334,0.24811840000000002,0.5305635777777779,0.6181923777777777,2.557746422222222,56,58
2026-04-15,BNB,9,0.2814,-0.08910188888888888,0.02204877777777778,-0.08636766666666668,0.05085422222222223,1.7701633333333333,8,3
2026-04-15,BTC,72,0.2856111111111111,0.028787166666666666,0.10583430555555556,0.2379013888888889,0.17488831944444444,1.6835199583333333,71,0
2026-04-15,DOGE,16,0.204375,0.049821,0.09618725,0.0811039375,0.1703109375,1.8304735,18,2
2026-04-15,ETH,6,0.22706666666666667,-0.2458463333333333,-0.10397249999999998,-0.6060321666666666,-0.14990533333333336,1.924196,6,2
2026-04-15,MARKET,609,0.07296748768472906,-0.08624552052545156,-0.038481655172413795,0.012138326765188844,-0.07403549753694581,2.080623972085386,625,348
2026-04-15,SOL,52,0.23991923076923077,0.07475390384615385,0.12430353846153847,0.008995730769230758,0.2969453846153846,2.4564706346153846,52,61
2026-04-16,BNB,9,0.5349777777777778,-0.006975888888888889,0.15561033333333332,0.38235355555555556,0.26347111111111116,1.693147,9,0
2026-04-16,BTC,49,0.13888775510204082,0.020957591836734697,0.05633657142857143,0.04721153061224489,0.09012202040816326,1.693147,48,1
2026-04-16,DOGE,9,0.17794444444444446,0.07319811111111112,0.10462211111111111,0.12185611111111111,0.17714055555555555,1.693147,9,0
2026-04-16,ETH,7,0.3889,-0.07714142857142857,0.062671,0.06355057142857144,0.19018114285714285,2.287273,7,6
2026-04-16,MARKET,293,0.10573720136518772,-0.07046434470989761,-0.0176039180887372,0.08447197269624573,-0.03577674744027304,2.033048546075085,296,144
2026-04-16,SHIB,3,0.01316666666666666,0.224013,0.16075933333333334,0.13581466666666672,0.27218899999999996,1.693147,3,0
2026-04-16,SOL,25,0.46336799999999995,0.12242212000000001,0.22470592,0.43193904000000005,0.540178,2.4187312,25,27
