indicator,indicator_name,date,open,high,low,close,volume
SP500,S&P 500,2025-12-19,6792.6201171875,6840.02001953125,6792.6201171875,6834.5,8554470000.0
SP500,S&P 500,2025-12-22,6865.2099609375,6882.02978515625,6855.740234375,6878.490234375,4465030000.0
SP500,S&P 500,2025-12-23,6872.41015625,6910.8798828125,6868.81005859375,6909.7900390625,3820560000.0
SP500,S&P 500,2025-12-24,6904.91015625,6937.31982421875,6904.91015625,6932.0498046875,1798270000.0
SP500,S&P 500,2025-12-26,6936.02001953125,6945.77001953125,6921.60009765625,6929.93994140625,2586550000.0
SP500,S&P 500,2025-12-29,6903.60009765625,6920.2099609375,6888.759765625,6905.740234375,3541750000.0
SP500,S&P 500,2025-12-30,6900.43994140625,6913.25,6893.47021484375,6896.240234375,3309930000.0
SP500,S&P 500,2025-12-31,6898.81982421875,6901.419921875,6844.5498046875,6845.5,3261830000.0
SP500,S&P 500,2026-01-02,6878.10986328125,6894.8701171875,6824.31005859375,6858.47021484375,4184120000.0
SP500,S&P 500,2026-01-05,6892.18994140625,6920.3798828125,6891.56005859375,6902.0498046875,5771930000.0
SP500,S&P 500,2026-01-06,6908.02978515625,6948.68994140625,6904.02001953125,6944.81982421875,5509680000.0
SP500,S&P 500,2026-01-07,6945.06982421875,6965.68994140625,6919.18994140625,6920.93017578125,5214480000.0
SP500,S&P 500,2026-01-08,6914.10986328125,6931.27978515625,6899.330078125,6921.4599609375,5333200000.0
SP500,S&P 500,2026-01-09,6927.830078125,6978.35986328125,6917.64013671875,6966.27978515625,5163900000.0
SP500,S&P 500,2026-01-12,6944.1201171875,6986.330078125,6934.06982421875,6977.27001953125,5019040000.0
SP500,S&P 500,2026-01-13,6977.41015625,6985.830078125,6938.77001953125,6963.740234375,5091730000.0
SP500,S&P 500,2026-01-14,6937.41015625,6941.2998046875,6885.740234375,6926.60009765625,5530830000.0
SP500,S&P 500,2026-01-15,6969.4599609375,6979.33984375,6937.93017578125,6944.47021484375,5114050000.0
SP500,S&P 500,2026-01-16,6960.5400390625,6967.2998046875,6925.08984375,6940.009765625,5356550000.0
SP500,S&P 500,2026-01-20,6865.240234375,6871.169921875,6789.0498046875,6796.85986328125,5769500000.0
SP500,S&P 500,2026-01-21,6810.7099609375,6910.39013671875,6804.9599609375,6875.6201171875,5835520000.0
SP500,S&P 500,2026-01-22,6914.43994140625,6934.75,6893.6201171875,6913.35009765625,5307580000.0
SP500,S&P 500,2026-01-23,6907.85009765625,6932.9599609375,6895.5,6915.60986328125,4871930000.0
SP500,S&P 500,2026-01-26,6923.22998046875,6964.66015625,6921.60009765625,6950.22998046875,4968050000.0
SP500,S&P 500,2026-01-27,6965.9599609375,6988.81982421875,6958.830078125,6978.60009765625,5331720000.0
SP500,S&P 500,2026-01-28,7002.0,7002.27978515625,6963.4599609375,6978.02978515625,5507670000.0
SP500,S&P 500,2026-01-29,6977.740234375,6992.83984375,6870.7998046875,6969.009765625,6877780000.0
SP500,S&P 500,2026-01-30,6947.27001953125,6964.08984375,6893.47998046875,6939.02978515625,6697340000.0
SP500,S&P 500,2026-02-02,6916.64013671875,6991.919921875,6914.33984375,6976.43994140625,5772050000.0
SP500,S&P 500,2026-02-03,6985.4501953125,6993.080078125,6862.0498046875,6917.81005859375,7017660000.0
SP500,S&P 500,2026-02-04,6924.5,6936.08984375,6838.7998046875,6882.72021484375,7475750000.0
SP500,S&P 500,2026-02-05,6837.39013671875,6857.85009765625,6780.1298828125,6798.39990234375,6989120000.0
SP500,S&P 500,2026-02-06,6816.740234375,6944.89013671875,6816.740234375,6932.2998046875,6283680000.0
SP500,S&P 500,2026-02-09,6917.259765625,6980.10009765625,6905.8701171875,6964.81982421875,5650260000.0
SP500,S&P 500,2026-02-10,6974.490234375,6986.830078125,6937.52978515625,6941.81005859375,5595950000.0
SP500,S&P 500,2026-02-11,6976.47998046875,6993.47998046875,6911.97021484375,6941.47021484375,6175510000.0
SP500,S&P 500,2026-02-12,6957.5400390625,6973.22021484375,6824.0400390625,6832.759765625,7118700000.0
SP500,S&P 500,2026-02-13,6834.27001953125,6881.9599609375,6794.5498046875,6836.169921875,5718360000.0
SP500,S&P 500,2026-02-17,6819.85986328125,6866.990234375,6775.5,6843.22021484375,5418480000.0
SP500,S&P 500,2026-02-18,6855.47998046875,6909.1201171875,6849.66015625,6881.31005859375,5098160000.0
SP500,S&P 500,2026-02-19,6861.33984375,6879.1201171875,6833.06005859375,6861.89013671875,5151690000.0
SP500,S&P 500,2026-02-20,6843.259765625,6915.85986328125,6836.330078125,6909.509765625,5432480000.0
SP500,S&P 500,2026-02-23,6901.25,6916.9599609375,6819.81982421875,6837.75,5638350000.0
SP500,S&P 500,2026-02-24,6837.3701171875,6899.169921875,6815.43017578125,6890.06982421875,5266090000.0
SP500,S&P 500,2026-02-25,6915.14990234375,6952.509765625,6915.14990234375,6946.1298828125,5328060000.0
SP500,S&P 500,2026-02-26,6944.740234375,6947.25,6859.72998046875,6908.85986328125,5889550000.0
SP500,S&P 500,2026-02-27,6856.5400390625,6882.9599609375,6831.740234375,6878.8798828125,6665660000.0
SP500,S&P 500,2026-03-02,6824.35986328125,6901.009765625,6796.85009765625,6881.6201171875,6079080000.0
